"company","company_id"
NA,"CO1"
"Liquidnet","CO2"
"Foot Locker, Inc.","CO3"
"Etsy","CO4"
"Viacom","CO5"
"Mount Sinai Health System","CO6"
"Nielsen","CO7"
"Marketing Evolution","CO8"
"Comcast","CO9"
"New York University","CO10"
"JP Morgan Chase","CO11"
"Facebook","CO12"
"Columbia University","CO13"
"Harry's","CO14"
"Workbridge Associates","CO15"
"Aegon","CO16"
"Accenture","CO17"
"AppNexus","CO18"
"Integral Ad Science","CO19"
"GumGum","CO20"
"Wavemaker","CO21"
"Lazard Ltd.","CO22"
"Transamerica","CO23"
"McKinsey & Company","CO24"
"Red Ventures","CO25"
"Zurich North America","CO26"
"Scholastic","CO27"
"Kaplan","CO28"
"Warby Parker","CO29"
"KPMG","CO30"
"DISNEY","CO31"
"UBS","CO32"
"Spotify","CO33"
"GroupM","CO34"
"ZEFR","CO35"
"Getty Images","CO36"
"Cadre","CO37"
"United Nations","CO38"
"S&P Global","CO39"
"S&P Global Ratings","CO40"
"Simons Foundation","CO41"
"Google","CO42"
"Morgan Stanley","CO43"
"VROOM","CO44"
"Conde Nast","CO45"
"Penske Media Corp.","CO46"
"Twitter","CO47"
"Healthfirst","CO48"
"Hospital for Special Surgery","CO49"
"Spectrum","CO50"
"Capgemini","CO51"
"Peloton","CO52"
"Innovations for Poverty Action","CO53"
"JLL","CO54"
"Options Group","CO55"
"New York Institute of Technology","CO56"
"Capital One","CO57"
"Department of Financial Services","CO58"
"Robert W. Baird","CO59"
"Guy Carpenter","CO60"
"Bed Bath & Beyond","CO61"
"New York Life Insurance Co","CO62"
"Local Initiatives Support Corporation","CO63"
"Bank of America","CO64"
"PERFORM Group","CO65"
"Paperless Post","CO66"
"BNP Paribas","CO67"
"Essence","CO68"
"Discovery Communications, LLC","CO69"
"Research Foundation of The City University of New York","CO70"
"The Madison Square Garden Company","CO71"
"Sartorius","CO72"
"RBC","CO73"
"Prudential","CO74"
"Credit Suisse","CO75"
"SunTrust","CO76"
"Neuberger Berman","CO77"
"Vera Institute of Justice","CO78"
"the NBA","CO79"
"Life Time","CO80"
"Foursquare","CO81"
"IBM","CO82"
"Credibly","CO83"
"Survey Sampling International","CO84"
"Grant Thornton","CO85"
"Amazon.com","CO86"
"Delve","CO87"
"HelloFresh","CO88"
"Caserta","CO89"
"Kaplan Test Prep","CO90"
"Hulu","CO91"
"Dia&Co","CO92"
"MUFG","CO93"
"Uber","CO94"
"Smith Hanley Associates","CO95"
"New York City OFFICE OF MANAGEMENT & BUDGET","CO96"
"J.Crew Group, Inc.","CO97"
"Meetup","CO98"
"Oscar Insurance","CO99"
"Tavant Technologies","CO100"
"Better","CO101"
"Guidepoint Global","CO102"
"Harnham","CO103"
"Estee Lauder","CO104"
"Swiss Re","CO105"
"Publicis Media","CO106"
"Alpha","CO107"
"Convene","CO108"
"Quartet","CO109"
"GfK, North America","CO110"
"The New York Times","CO111"
"POSSIBLE","CO112"
"Catchpoint","CO113"
"Amplify Education, Inc.","CO114"
"AFLAC","CO115"
"1-800-Flowers.com","CO116"
"UNITED PARCEL SERVICE","CO117"
"Compass","CO118"
"AXA","CO119"
"Brown Brothers Harriman","CO120"
"American Express","CO121"
"Zoetis","CO122"
"Elsevier","CO123"
"MyWebGrocer","CO124"
"AmeriCorps","CO125"
"Northwestern Mutual Life Insurance Company","CO126"
"Group One Trading","CO127"
"Tudor Investment Corporation","CO128"
"Comcentric","CO129"
"Tiffany & Co.","CO130"
"PlaceIQ","CO131"
"Circle","CO132"
"Two Sigma Investments, LLC.","CO133"
"Acuris","CO134"
"Goldman Sachs","CO135"
"HighTower Advisors","CO136"
"FUSE MEDIA","CO137"
"DBRS","CO138"
"Ipsos North America","CO139"
"Squarespace","CO140"
"Oracle","CO141"
"[m]Platform","CO142"
"Brandwatch","CO143"
"Citi","CO144"
"Engage Partners","CO145"
"Wood Mackenzie","CO146"
"Starpoint Solutions","CO147"
"Memorial Sloan Kettering","CO148"
"Sony Music Entertainment","CO149"
"Aetna","CO150"
"MongoDB","CO151"
"Procom","CO152"
"Becton Dickinson & Company","CO153"
"Contently","CO154"
"Deutsche Bank","CO155"
"CDI LLC","CO156"
"MDRC","CO157"
"ClearBridge Investments","CO158"
"Mondelez International","CO159"
"Vitals","CO160"
"Fareportal Inc.","CO161"
"Success Academy Charter Schools","CO162"
"GfK, Automotive","CO163"
"Venmo","CO164"
"Oath Inc","CO165"
"Moody's Shared Services","CO166"
"The Children's Place","CO167"
"iHeartMedia, Inc.","CO168"
"Mount Sinai","CO169"
"Maxus","CO170"
"Remedy Partners","CO171"
"PepsiCo","CO172"
"Tenable","CO173"
"NYC Health + Hospitals","CO174"
"Robert Walters","CO175"
"Axelon Services Corporation","CO176"
"EXL","CO177"
"NewYork-Presbyterian Hospital","CO178"
"DIVERSANT LLC","CO179"
"OppenheimerFunds","CO180"
"The Conference Board","CO181"
"American Century Investments","CO182"
"Twentieth Television","CO183"
"Plated","CO184"
"SiriusXM","CO185"
"Dow Jones","CO186"
"Roku","CO187"
"Rent the Runway","CO188"
"Knewton","CO189"
"Chegg","CO190"
"New York Yankees","CO191"
"The New Jewish Home","CO192"
"360i","CO193"
"1010data","CO194"
"Interactive Brokers","CO195"
"NIKE INC","CO196"
"Intercontinental Exchange","CO197"
"Trilogy Ed","CO198"
"PLATTS","CO199"
"New York District Attorney's Office","CO200"
"Cota","CO201"
"comScore","CO202"
"AIG","CO203"
"Deloitte","CO204"
"BlackRock","CO205"
"New York City DEPARTMENT OF CITY PLANNING","CO206"
"Ralph Lauren","CO207"
"VillageCare","CO208"
"Mars","CO209"
"National Debt Relief","CO210"
"Church Pension Group","CO211"
"HotelTonight","CO212"
"Northwell Health","CO213"
"Guardian Life Insurance Company","CO214"
"Live Nation","CO215"
"Boxed","CO216"
"Thomas Publishing Company LLC","CO217"
"General Assembly","CO218"
"Bowery Farming","CO219"
"The Hartford","CO220"
"Datadog","CO221"
"Ursa","CO222"
"First American","CO223"
"Novantas","CO224"
"BuzzFeed","CO225"
"NOKIA","CO226"
"ASCAP","CO227"
"BGC Partners","CO228"
"Fora Financial LLC","CO229"
"Asset Management Specialists","CO230"
"NBCUniversal","CO231"
"KOCH MINERALS","CO232"
"CLEAR - Corporate","CO233"
"Slalom Consulting","CO234"
"WeWork","CO235"
"Phreesia","CO236"
"TMP Worldwide","CO237"
"Movado","CO238"
"Slack","CO239"
"New York City POLICE DEPARTMENT","CO240"
"Tastemade","CO241"
"Saks Fifth Avenue","CO242"
"Annalect","CO243"
"Interactive One","CO244"
"Thornton Tomasetti.","CO245"
"FactSet Research Systems","CO246"
"Momentum Resource Solutions","CO247"
"Wavsys, LLC","CO248"
"USA for UNHCR","CO249"
"CASES","CO250"
"OpenText","CO251"
"Aptus Health","CO252"
"Weber Shandwick","CO253"
"Dataminr","CO254"
"Taboola","CO255"
"Publishers Clearing House","CO256"
"Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS","CO257"
"Bluecore Inc.","CO258"
"Two95 International Inc.","CO259"
"Hamlyn Williams","CO260"
"Research Now","CO261"
"Harmony Labs","CO262"
"Havas Media","CO263"
"Wiley","CO264"
"Simon Property Group","CO265"
"Sapient","CO266"
"Fox News Channel","CO267"
"Bonobos","CO268"
"DigitasLBi","CO269"
"FanDuel","CO270"
"Daugherty Business Solutions","CO271"
